EinheitMastrNummer,DatumLetzeAktualisierung,Name,Einheitart,Einheittyp,Standort,Bruttoleistung,Erzeugungsleistung,EinheitBetriebsstatus,Anlagenbetreiber,EegMastrNummer,KwkMastrNummer,SpeMastrNummer,GenMastrNummer,BestandsanlageMastrNummer,NichtVorhandenInMigriertenEinheiten,StatisikFlag,Ergebniscode,AufrufVeraltet,AufrufLebenszeitEnde,AufrufVersion,DatumLetzteAktualisierung,LokationMastrNummer,NetzbetreiberpruefungStatus,NetzbetreiberpruefungDatum,AnlagenbetreiberMastrNummer,Land,Bundesland,Landkreis,Gemeinde,Gemeindeschluessel,Postleitzahl,Gemarkung,FlurFlurstuecknummern,Strasse,StrasseNichtGefunden,Hausnummer,HausnummerNichtGefunden,Adresszusatz,Ort,Laengengrad,Breitengrad,UtmZonenwert,UtmEast,UtmNorth,GaussKruegerHoch,GaussKruegerRechts,Meldedatum,GeplantesInbetriebnahmedatum,Inbetriebnahmedatum,DatumEndgueltigeStilllegung,DatumBeginnVoruebergehendeStilllegung,DatumWiederaufnahmeBetrieb,EinheitSystemstatus,EinheitBetriebsstatus_unit,BestandsanlageMastrNummer_unit,NichtVorhandenInMigriertenEinheiten_unit,AltAnlagenbetreiberMastrNummer,DatumDesBetreiberwechsels,DatumRegistrierungDesBetreiberwechsels,StatisikFlag_unit,NameStromerzeugungseinheit,Weic,WeicDisplayName,Kraftwerksnummer,Energietraeger,Bruttoleistung_unit,Nettonennleistung,AnschlussAnHoechstOderHochSpannung,Schwarzstartfaehigkeit,Inselbetriebsfaehigkeit,Einsatzverantwortlicher,FernsteuerbarkeitNb,FernsteuerbarkeitDv,FernsteuerbarkeitDr,Einspeisungsart,PraequalifiziertFuerRegelenergie,GenMastrNummer_unit,Technologie,EegMastrNummer_unit,KwkMastrNummer_unit,Ergebniscode_eeg,AufrufVeraltet_eeg,AufrufLebenszeitEnde_eeg,AufrufVersion_eeg,Meldedatum_eeg,DatumLetzteAktualisierung_eeg,EegInbetriebnahmedatum,EegMastrNummer_eeg,AnlagenschluesselEeg,AnlagenkennzifferAnlagenregister,InstallierteLeistung,AnlageBetriebsstatus,Ergebniscode_kwk,AufrufVeraltet_kwk,AufrufLebenszeitEnde_kwk,AufrufVersion_kwk,KwkMastrNummer_kwk,AusschreibungZuschlag,Zuschlagnummer,DatumLetzteAktualisierung_kwk,Inbetriebnahmedatum_kwk,Meldedatum_kwk,ThermischeNutzleistung,ElektrischeKwkLeistung,AnlageBetriebsstatus_kwk,Ergebniscode_permit,AufrufVeraltet_permit,AufrufLebenszeitEnde_permit,AufrufVersion_permit,GenMastrNummer_permit,DatumLetzteAktualisierung_permit,Art,Datum,Behoerde,Aktenzeichen,Frist,WasserrechtsNummer,WasserrechtAblaufdatum,Meldedatum_permit
SEE925225463976,2020-10-26 13:35:58.690523,Duerrnhaar_GTK_Geo1,Stromerzeugungseinheit,Geothermie,Höhenkirchener Str. 25  85653 Aying,7000,,InBetrieb,ABR948070381080,EEG962705843842,,,,,,,OK,False,,1.0,2020-10-26 13:35:58.690523,SEL913457688359,Geprueft,2020-11-11,ABR948070381080,Deutschland,Bayern,München,Aying,09184137,85653,,,Höhenkirchener Str.,True,25 ,True,,Aying,11.725951,47.996114,32.0,703351.024690977,5319464.27147229,5317589.69890893,4479655.3206801,2020-07-16,,2012-12-04,,,,Aktiv,InBetrieb,,,,,,A,Duerrnhaar_GTK_Geo1,,,,Geothermie,7000,7000,False,,,,True,False,,Volleinspeisung,,,ORCOrganicRankineCycleAnlage,EEG962705843842,,OK,False,,1.0,2020-07-16,2020-10-26 13:35:58.690523,2012-12-04,EEG962705843842,E2104101SZP0000000000041028100001,,7000,InBetrieb,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE925242553926,2020-04-14 12:12:26.050287,Deponiegas-BHKW Deponie Vereinigte Ville,Stromerzeugungseinheit,Geothermie,Tonstraße 6 50374 Erftstadt,943,,InBetrieb,ABR980688464922,EEG980193154660,KWK906335492230,,SGE951952518733,,,,OK,False,,1.0,2020-04-14 12:12:26.050287,SEL959058259406,Datenkorrektur,,ABR980688464922,Deutschland,NordrheinWestfalen,Rhein-Erft-Kreis,Erftstadt,05362020,50374,,,Tonstraße,False,6,False,,Erftstadt,6.838008,50.834353,32.0,347761.628274134,5633631.99541985,5633553.9742536,2559077.20976887,2020-04-14,,2009-01-27,,,,Aktiv,InBetrieb,,,,,,A,Deponiegas-BHKW Deponie Vereinigte Ville,,,,Grubengas,943,919,False,,,,True,False,False,Volleinspeisung,,SGE951952518733,Verbrennungsmotor,EEG980193154660,KWK906335492230,OK,False,,1.0,2020-04-14,2020-04-14 12:12:25.554257,2009-01-27,EEG980193154660,E31280100000000000000006368856685,,943,InBetrieb,OK,False,,1.0,KWK906335492230,False,,2020-04-14 12:12:25.554257,2009-01-27,2020-04-14,2454,919,InBetrieb,,,,,,,,,,,,,,
SEE925377929283,2020-09-18 12:30:25.431563,PV Anlage,Stromerzeugungseinheit,Geothermie,86675 Buchdorf,8.88,,InBetrieb,ABR984466770304,EEG960125994090,,,,,,,OK,False,,1.0,2020-09-18 12:30:25.431563,SEL983743841225,Ungeprueft,,ABR984466770304,Deutschland,Bayern,Donau-Ries,Buchdorf,09779126,86675,,,,False,,False,,Buchdorf,,,,,,,,2020-09-18,,2010-03-10,,,,Aktiv,InBetrieb,,,,,,A,PV Anlage,,,,Solarthermie,8.88,7.6,,,,,False,,,Volleinspeisung,,,Sonstige,EEG960125994090,,OK,False,,1.0,2020-09-18,2020-09-18 12:30:25.295275,2010-03-10,EEG960125994090,E31177010000000005007764861-00000,,8.88,InBetrieb,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE925738161024,2020-10-06 10:46:25.833810,EA-45814,Stromerzeugungseinheit,Geothermie,45133 Essen,16.49,,InBetrieb,ABR953940119588,EEG989443378559,,,,,,,OK,False,,1.0,2020-10-06 10:46:25.833810,SEL908991046499,Datenkorrektur,,ABR953940119588,Deutschland,NordrheinWestfalen,Essen,Essen,05113000,45133,,,,False,,False,,Essen,,,,,,,,2020-10-06,,2008-02-22,,,,Aktiv,InBetrieb,,,,,,A,EA-45814,,,,Solarthermie,16.49,14.84,,,,,False,,,Volleinspeisung,,,Sonstige,EEG989443378559,,OK,False,,1.0,2020-10-06,2020-10-06 10:46:25.772814,2008-02-22,EEG989443378559,,,16.49,InBetrieb,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE927241158935,2019-06-11 12:42:10.330981,BHKW Kläranlage Heidelsheim,Stromerzeugungseinheit,Geothermie,Talmühle 3 76646 Bruchsal,435,,InBetrieb,ABR971978688913,,KWK997143030677,,,,,,OK,False,,1.0,2019-06-11 12:42:10.330981,SEL945891834177,Geprueft,2019-07-16,ABR971978688913,Deutschland,BadenWuerttemberg,Karlsruhe,Bruchsal,08215009,76646,,,Talmühle,False,3,False,,Bruchsal,8.636936,49.113732,32.0,473505.123660668,5440162.41645254,5441899.08141958,3473569.8411439,2019-06-11,,2017-09-20,,,,Aktiv,InBetrieb,,,,,,A,BHKW Kläranlage Heidelsheim,,,,Klaerschlamm,435,430,False,,,,False,False,False,Teileinspeisung,,,Verbrennungsmotor,,KWK997143030677,,,,,,,,,,,,,OK,False,,1.0,KWK997143030677,,,2019-06-11 12:42:10.082964,2017-09-20,2019-06-11,519,430,InBetrieb,,,,,,,,,,,,,,
SEE927319630936,2020-10-13 07:55:48.901196,E212480129362210170013A0310100001,Stromerzeugungseinheit,Geothermie,29362 Hohne,18,,InBetrieb,ABR932143867175,,,,,,,,OK,False,,1.0,2020-10-13 07:55:48.901196,SEL955649541059,Abgelehnt,,ABR932143867175,Deutschland,Niedersachsen,Celle,Hohne,03351015,29362,,,,False,,False,,Hohne,,,,,,,,2020-10-13,,2010-03-09,,,,Aktiv,InBetrieb,,,,,,A,E212480129362210170013A0310100001,,,,Solarthermie,18,18,,,,,False,,,Volleinspeisung,,,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE927343891853,2019-10-08 03:07:31.914833,DT KLA Bottrop,Stromerzeugungseinheit,Geothermie,In der Welheimer Mark 190 46238 Bottrop,4500,,InBetrieb,ABR904774810417,,,,,,,,OK,False,,1.0,2019-10-08 03:07:31.914833,SEL989180162190,Geprueft,2019-10-08,ABR904774810417,Deutschland,NordrheinWestfalen,Bottrop,Bottrop,05512000,46238,,,In der Welheimer Mark,False,190,False,,Bottrop,6.982572,51.517791,32.0,360025.823955136,5709337.17773654,5709710.78489632,2568244.52278644,2019-08-05,,2017-12-17,,,,Aktiv,InBetrieb,,,,,,A,DT KLA Bottrop,,,,Klaerschlamm,4500,4500,False,,,,True,False,False,Teileinspeisung,,,GasturbinenmitnachgeschalteterDampfturbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE928036362230,2019-05-28 08:26:38.031669,BHKW3 EWB Würzburg,Stromerzeugungseinheit,Geothermie,Mainaustraße 54 97082 Würzburg,544,,InBetrieb,ABR908543746334,,KWK977044307320,,SGE993862575307,,,,OK,False,,1.0,2019-05-28 08:26:38.031669,SEL935705159404,Ungeprueft,,ABR908543746334,Deutschland,Bayern,Würzburg,Würzburg,09663000,97082,,,Mainaustraße,False,54,False,,Würzburg,9.895,49.796,32.0,564412.600091692,5516333.69707237,5518101.7058402,3564513.16182309,2019-03-19,,2016-11-18,,,,Aktiv,InBetrieb,,,,,,A,BHKW3 EWB Würzburg,,,,Klaerschlamm,544,526,True,,,,True,False,False,Teileinspeisung,,SGE993862575307,Verbrennungsmotor,,KWK977044307320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE928428391398,2020-01-30 12:29:24.809650,BHKW Haniel M2,Stromerzeugungseinheit,Geothermie,46242 Bottrop,1358,,InBetrieb,ABR970977607369,EEG918402468338,,,SGE972732714893,,,,OK,False,,1.0,2020-01-30 12:29:24.809650,SEL943782574850,Ungeprueft,,ABR970977607369,Deutschland,NordrheinWestfalen,Oberhausen,Oberhausen,05119000,46242,Bottrop,"Fl 167, FlSt 39
",,False,,False,,Bottrop,6.884488,51.546866,32.0,353314.698103304,5712762.42571702,5712858.63716904,2561397.24198175,2019-10-17,,2003-12-05,,,,Aktiv,InBetrieb,,,,,,A,BHKW Haniel M2,,,,Grubengas,1358,1358,False,,,,True,True,False,Volleinspeisung,,SGE972732714893,Verbrennungsmotor,EEG918402468338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE928544560104,2020-11-09 09:39:18.171117,BHKW 1  ARA Rheine,Stromerzeugungseinheit,Geothermie,Sandkampstr. 231 48432 Rheine,250,,InBetrieb,ABR935363059757,EEG976474252446,KWK964090920818,,,,,,OK,False,,1.0,2020-11-09 09:39:18.171117,SEL972538453910,Geprueft,2020-11-13,ABR935363059757,Deutschland,NordrheinWestfalen,Steinfurt,Rheine,05566076,48432,,,Sandkampstr.,False,231,False,,Rheine,7.437156,52.307452,32.0,393449.802877894,5796384.82119319,5798088.32253708,2598061.57827424,2020-08-31,,2016-09-19,,,,Aktiv,InBetrieb,,,,,,A,BHKW 1  ARA Rheine,,,,Klaerschlamm,250,250,False,,,,True,False,False,Teileinspeisung,,,Verbrennungsmotor,EEG976474252446,KWK964090920818,OK,False,,1.0,2020-08-31,2020-11-09 10:33:00.222074,2016-09-19,EEG976474252446,E3019101E200000114020231000000004,,500,InBetrieb,OK,False,,1.0,KWK964090920818,False,,2020-11-09 10:33:00.222074,2016-09-19,2020-08-31,490,500,InBetrieb,,,,,,,,,,,,,,
