EinheitMastrNummer,DatumLetzeAktualisierung,Name,Einheitart,Einheittyp,Standort,Bruttoleistung,Erzeugungsleistung,EinheitBetriebsstatus,Anlagenbetreiber,EegMastrNummer,KwkMastrNummer,SpeMastrNummer,GenMastrNummer,BestandsanlageMastrNummer,NichtVorhandenInMigriertenEinheiten,StatisikFlag,Ergebniscode,AufrufVeraltet,AufrufLebenszeitEnde,AufrufVersion,DatumLetzteAktualisierung,LokationMastrNummer,NetzbetreiberpruefungStatus,NetzbetreiberpruefungDatum,AnlagenbetreiberMastrNummer,Land,Bundesland,Landkreis,Gemeinde,Gemeindeschluessel,Postleitzahl,Gemarkung,FlurFlurstuecknummern,Strasse,StrasseNichtGefunden,Hausnummer,HausnummerNichtGefunden,Adresszusatz,Ort,Laengengrad,Breitengrad,UtmZonenwert,UtmEast,UtmNorth,GaussKruegerHoch,GaussKruegerRechts,Meldedatum,GeplantesInbetriebnahmedatum,Inbetriebnahmedatum,DatumEndgueltigeStilllegung,DatumBeginnVoruebergehendeStilllegung,DatumWiederaufnahmeBetrieb,EinheitSystemstatus,EinheitBetriebsstatus_unit,BestandsanlageMastrNummer_unit,NichtVorhandenInMigriertenEinheiten_unit,AltAnlagenbetreiberMastrNummer,DatumDesBetreiberwechsels,DatumRegistrierungDesBetreiberwechsels,StatisikFlag_unit,NameStromerzeugungseinheit,Weic,WeicDisplayName,Kraftwerksnummer,Energietraeger,Bruttoleistung_unit,Nettonennleistung,AnschlussAnHoechstOderHochSpannung,Schwarzstartfaehigkeit,Inselbetriebsfaehigkeit,Einsatzverantwortlicher,FernsteuerbarkeitNb,FernsteuerbarkeitDv,FernsteuerbarkeitDr,Einspeisungsart,PraequalifiziertFuerRegelenergie,GenMastrNummer_unit,Technologie,EegMastrNummer_unit,KwkMastrNummer_unit,Ergebniscode_eeg,AufrufVeraltet_eeg,AufrufLebenszeitEnde_eeg,AufrufVersion_eeg,Meldedatum_eeg,DatumLetzteAktualisierung_eeg,EegInbetriebnahmedatum,EegMastrNummer_eeg,AnlagenschluesselEeg,AnlagenkennzifferAnlagenregister,InstallierteLeistung,AnlageBetriebsstatus,Ergebniscode_kwk,AufrufVeraltet_kwk,AufrufLebenszeitEnde_kwk,AufrufVersion_kwk,KwkMastrNummer_kwk,AusschreibungZuschlag,Zuschlagnummer,DatumLetzteAktualisierung_kwk,Inbetriebnahmedatum_kwk,Meldedatum_kwk,ThermischeNutzleistung,ElektrischeKwkLeistung,AnlageBetriebsstatus_kwk,Ergebniscode_permit,AufrufVeraltet_permit,AufrufLebenszeitEnde_permit,AufrufVersion_permit,GenMastrNummer_permit,DatumLetzteAktualisierung_permit,Art,Datum,Behoerde,Aktenzeichen,Frist,WasserrechtsNummer,WasserrechtAblaufdatum,Meldedatum_permit
SEE900266015988,2020-10-01 20:15:13.488761,Dach Südseite,Stromerzeugungseinheit,Geothermie,86850 Fischach,18.36,,InBetrieb,ABR942998672619,,,,,,,,OK,False,,1.0,2020-10-01 20:15:13.488761,SEL920168538644,Datenkorrektur,,ABR942998672619,Deutschland,Bayern,Augsburg,Fischach,09772141,86850,,,,False,,False,,Fischach,,,,,,,,2020-10-01,,2008-10-07,,,,Aktiv,InBetrieb,,,,,,A,Dach Südseite,,,,Solarthermie,18.36,18,,,,,True,,,Volleinspeisung,,,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900453616721,2019-10-17 10:19:31.033129,Gasmotor 10,Stromerzeugungseinheit,Geothermie,Saarbrücker Straße 135 - 137 66333 Völklingen,3047,,InBetrieb,ABR992562012297,EEG928693159976,,,SGE906996734083,,,,OK,False,,1.0,2019-10-17 10:19:31.033129,SEL907359112364,Geprueft,2019-11-18,ABR992562012297,Deutschland,Saarland,Regionalverband Saarbrücken,Völklingen,10041519,66333,,,Saarbrücker Straße,False,135 - 137,True,,Völklingen,6.88109,49.24771,32.0,345792.757321808,5457153.65723166,5457110.70228861,2564193.98363246,2019-08-20,,2004-06-01,,,,Aktiv,InBetrieb,,,,,,A,Gasmotor 10,,,,Grubengas,3047,2927,False,,,,True,True,False,Volleinspeisung,,SGE906996734083,Verbrennungsmotor,EEG928693159976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900456844015,2020-07-02 10:32:58.744492,Dep R,Stromerzeugungseinheit,Geothermie,Wennedacher Straße 88416 Ochsenhausen,99,,InBetrieb,ABR954445372638,,,,,,,,OK,False,,1.0,2020-07-02 10:32:58.744492,SEL952204361206,Ungeprueft,,ABR954445372638,Deutschland,BadenWuerttemberg,Biberach,Ochsenhausen,08426087,88416,,,Wennedacher Straße,False,,False,,Ochsenhausen,9.922564,48.110495,32.0,568671.724790514,5328992.99436643,5330685.79822934,3568775.59115832,2020-07-02,,2011-02-07,,,,Aktiv,InBetrieb,,,,,,A,Dep R,,,,Grubengas,99,50,,,,,False,,,Volleinspeisung,,,Verbrennungsmotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900633118304,2020-10-21 09:34:34.970505,Betrieb,Stromerzeugungseinheit,Geothermie,86655 Harburg,25.2,,InBetrieb,ABR975443018526,EEG940328298805,,,,,,,OK,False,,1.0,2020-10-21 09:34:34.970505,SEL941601638066,Ungeprueft,,ABR975443018526,Deutschland,Bayern,Donau-Ries,Harburg (Schwaben),09779155,86655,,,,False,,False,,Harburg,,,,,,,,2020-10-21,,2010-09-28,,,,Aktiv,InBetrieb,,,,,,A,Betrieb,,,,Solarthermie,25.2,24.6,,,,,False,,,Volleinspeisung,,,Sonstige,EEG940328298805,,OK,False,,1.0,2020-10-21,2020-10-21 09:34:34.862506,2010-09-28,EEG940328298805,,,25.2,InBetrieb,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE900968954387,2019-11-28 13:50:53.803105,Deponiegasverwertung Kreismülldeponie Bruchsal,Stromerzeugungseinheit,Geothermie,Heidelberger Straße Heidelberger Straße Nr. 199    an der Bundesstraße 3 76646 Bruchsal,308,,InBetrieb,ABR936001734739,EEG910125367998,,,SGE910503183738,,,,OK,False,,1.0,2019-11-28 13:50:53.803105,SEL971033474987,Ungeprueft,,ABR936001734739,Deutschland,BadenWuerttemberg,Karlsruhe,Bruchsal,08215009,76646,,,Heidelberger Straße,False,,False,Heidelberger Straße Nr. 199    an der Bundesstraße 3,Bruchsal,8.608665,49.144238,32.0,471459.545477619,5443563.95698125,5445301.97056252,3471523.4136894,2019-11-28,,1998-06-16,,,,Aktiv,InBetrieb,,,,,,A,Deponiegasverwertung Kreismülldeponie Bruchsal,,,,Grubengas,308,307,,,,,True,,,Teileinspeisung,,SGE910503183738,Verbrennungsmotor,EEG910125367998,,OK,False,,1.0,2019-11-28,2019-11-28 13:50:53.712098,1998-06-16,EEG910125367998,,,308,InBetrieb,,,,,,,,,,,,,,OK,False,,1.0,SGE910503183738,2019-11-28 13:50:53.712098,NachBImSchG4BBImSchV,1997-01-09,Regierungspräsidium Karlsruhe,71a-8823.22,,,,2019-11-28
SEE901428683571,2020-10-27 13:13:51.858897,"Privat, 519",Stromerzeugungseinheit,Geothermie,49770 Herzlake,9.45,,InBetrieb,ABR915136228214,,,,,,,,OK,False,,1.0,2020-10-27 13:13:51.858897,SEL997941844544,Ungeprueft,,ABR915136228214,Deutschland,Niedersachsen,Emsland,Herzlake,03454021,49770,,,,False,,False,,Herzlake,,,,,,,,2020-09-28,,2009-09-09,,,,Aktiv,InBetrieb,,,,,,A,"Privat, 519",,,,Solarthermie,9.45,9.45,,,,,True,,,Volleinspeisung,,,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE902170115198,2020-04-14 12:20:45.967077,Deponiegas-BHKW Deponie Vereinigte Ville,Stromerzeugungseinheit,Geothermie,Tonstraße 6 50374 Erftstadt,943,,InBetrieb,ABR980688464922,EEG994646743127,KWK936383463142,,SGE951952518733,,,,OK,False,,1.0,2020-04-14 12:20:45.967077,SEL962281022266,Datenkorrektur,,ABR980688464922,Deutschland,NordrheinWestfalen,Rhein-Erft-Kreis,Erftstadt,05362020,50374,,,Tonstraße,False,6,False,,Erftstadt,6.838008,50.834353,32.0,347761.628274134,5633631.99541985,5633553.9742536,2559077.20976887,2020-04-14,,2009-01-27,,,,Aktiv,InBetrieb,,,,,,A,Deponiegas-BHKW Deponie Vereinigte Ville,,,,Grubengas,943,919,False,,,,True,False,False,Volleinspeisung,,SGE951952518733,Verbrennungsmotor,EEG994646743127,KWK936383463142,OK,False,,1.0,2020-04-14,2020-04-14 12:20:45.859070,2009-01-27,EEG994646743127,E31238010000000000000006368856686,,943,InBetrieb,OK,False,,1.0,KWK936383463142,False,,2020-04-14 12:20:45.859070,2009-01-27,2020-04-14,2454,919,InBetrieb,,,,,,,,,,,,,,
SEE902269782331,2020-08-06 10:37:30.776042,Mikrogasturbine ASM,Stromerzeugungseinheit,Geothermie,Außerhalb des Ortes 22 65462 Ginsheim-Gustavsburg,65,,InBetrieb,ABR980461441287,,KWK975309907308,,,,,,OK,False,,1.0,2020-08-06 10:37:30.776042,SEL993196320437,Ungeprueft,,ABR980461441287,Deutschland,Hessen,Groß-Gerau,Bischofsheim,06433002,65462,,,Außerhalb des Ortes,True,22,True,,Ginsheim-Gustavsburg,8.327258,49.979474,32.0,451766.214805117,5536565.39256004,5538340.56318576,3451821.40902133,2020-08-06,,2014-11-21,,,,Aktiv,InBetrieb,,,,,,A,Mikrogasturbine ASM,,,,Klaerschlamm,65,65,,,,,False,,,Teileinspeisung,,,GasturbinenohneAbhitzekessel,,KWK975309907308,,,,,,,,,,,,,OK,False,,1.0,KWK975309907308,False,,2020-08-06 10:37:30.675551,2014-11-21,2020-08-06,120,65,InBetrieb,,,,,,,,,,,,,,
SEE903570537955,2019-05-28 08:26:38.031669,Kläranlage Edenkoben Hochlastfaulung BHKW 1,Stromerzeugungseinheit,Geothermie,In den Seewiesen Kläranlage Edenkoben 67480 Edenkoben,50,,InBetrieb,ABR949365571070,,KWK978908603459,,SGE999715026422,,,,OK,False,,1.0,2019-05-28 08:26:38.031669,SEL987212629246,Ungeprueft,,ABR949365571070,Deutschland,RheinlandPfalz,Südliche Weinstraße,Edenkoben,07337020,67480,,,In den Seewiesen,False,,False,Kläranlage Edenkoben,Edenkoben,8.154486,49.284128,32.0,438509.838667071,5459385.62306694,5461129.71615374,3438560.35151348,2019-02-19,,2016-02-04,,,,Aktiv,InBetrieb,,,,,,A,Kläranlage Edenkoben Hochlastfaulung BHKW 1,,,,Klaerschlamm,50,50,,,,,True,,,Teileinspeisung,,SGE999715026422,Verbrennungsmotor,,KWK978908603459,,,,,,,,,,,,,OK,False,,1.0,KWK978908603459,,,2019-02-19 13:37:19.276206,2019-02-19,2019-02-19,140,100,InBetrieb,OK,False,,1.0,SGE999715026422,2019-02-19 13:31:39.063538,NachWasserhaushaltsgesetz,2013-09-06,Struktur- und Genehmigungsdirektion Süd,344/30.20-15/00,,,,2019-02-19
SEE903764930562,2020-10-27 13:52:09.021892,BHKW 2 KA Zittau,Stromerzeugungseinheit,Geothermie,Chopinstraße 6 a 02763 Zittau,180,,InBetrieb,ABR970850911620,,KWK966413409390,,,,,,OK,False,,1.0,2020-10-27 13:52:09.021892,SEL924716140822,Geprueft,2020-10-27,ABR970850911620,Deutschland,Sachsen,Görlitz,Zittau,14626610,02763,,,Chopinstraße,False,6 a,False,,Zittau,14.82809,50.89646,33.0,487910.320084472,5638325.02614453,5640136.39390366,5488041.99955036,2020-10-19,,2014-05-22,,,,Aktiv,InBetrieb,,,,,,A,BHKW 2 KA Zittau,,,,Klaerschlamm,180,180,False,,,,True,False,False,Teileinspeisung,,,Verbrennungsmotor,,KWK966413409390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE903786674819,2019-12-18 11:22:54.964472,BHKW.KAHM.1,Stromerzeugungseinheit,Geothermie,Hölzches Mühle neben Maschinenhaus An der L 267 56305 Puderbach,130,,InBetrieb,ABR970259761659,EEG969488359690,KWK920926179331,,SGE975872667500,,,,OK,False,,1.0,2019-12-18 11:22:54.964472,SEL967320709276,Ungeprueft,,ABR970259761659,Deutschland,RheinlandPfalz,Neuwied,Döttesfeld,07138013,56305,,,Hölzches Mühle,True,,True,neben Maschinenhaus An der L 267,Puderbach,7.618537,50.590757,32.0,402214.880302146,5605228.0231646,5607030.31681245,3402249.63671314,2019-12-18,,2019-11-22,,,,Aktiv,InBetrieb,,,,,,B,BHKW.KAHM.1,,,,Klaerschlamm,130,120,False,,,,True,True,True,Teileinspeisung,,SGE975872667500,Sonstige,EEG969488359690,KWK920926179331,OK,False,,1.0,2019-12-18,2019-12-18 11:22:54.841678,2019-11-22,EEG969488359690,,,130,InBetrieb,OK,False,,1.0,KWK920926179331,False,,2019-12-18 11:22:54.841678,2019-11-22,2019-12-18,176,120,InBetrieb,OK,False,,1.0,SGE975872667500,2019-12-18 11:22:54.841678,NachWasserhaushaltsgesetz,2019-03-21,SGD Nord Montabaur,334-KA-138-05345/1999,2019-12-31,,,2019-12-18
SEE903945479743,2020-01-30 11:58:49.629566,BHKW Gneisenau 4 M3,Stromerzeugungseinheit,Geothermie,Heringenstraße 44329 Dortmund,1358,,InBetrieb,ABR909184158296,EEG967922393903,,,SGE956681665796,,,,OK,False,,1.0,2020-01-30 11:58:49.629566,SEL980371149051,Geprueft,2020-02-04,ABR909184158296,Deutschland,NordrheinWestfalen,Dortmund,Dortmund,05913000,44329,,,Heringenstraße,False,,False,,Dortmund,7.525756,51.566956,32.0,397821.253114735,5713905.44402249,5715751.24519835,3397853.34828884,2020-01-30,,2002-09-01,,,,Aktiv,InBetrieb,,,,,,A,BHKW Gneisenau 4 M3,,,,Grubengas,1358,1358,False,,,,True,True,False,Volleinspeisung,,SGE956681665796,Verbrennungsmotor,EEG967922393903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE904502345181,2020-02-04 09:20:22.620547,BHKW Gneisenau 4,Stromerzeugungseinheit,Geothermie,Heringenstraße 44329 Dortmund,1358,,InBetrieb,ABR909184158296,EEG967922393903,,,SGE956681665796,,,,OK,False,,1.0,2020-02-04 09:20:22.620547,SEL980371149051,Geprueft,2020-02-04,ABR909184158296,Deutschland,NordrheinWestfalen,Dortmund,Dortmund,05913000,44329,,,Heringenstraße,False,,False,,Dortmund,7.525756,51.566956,32.0,397821.253114735,5713905.44402249,5715751.24519835,3397853.34828884,2019-03-20,,2002-09-01,,,,Aktiv,InBetrieb,,,,,,A,BHKW Gneisenau 4,,,,Grubengas,1358,1358,False,,,,True,True,False,Volleinspeisung,,SGE956681665796,Verbrennungsmotor,EEG967922393903,,OK,False,,1.0,2019-03-20,2020-01-30 11:58:49.572564,2002-09-01,EEG967922393903,E31880011000000000000057202400001,,4074,InBetrieb,,,,,,,,,,,,,,OK,False,,1.0,SGE956681665796,2019-03-20 07:27:16.236870,NachBImSchG4BBImSchV,2006-04-24,Bezirksregierung Arnsberg,"56-4/42,0114/05/0102B2-Ru/Beh",,,,2019-03-20
SEE904651546231,2019-05-28 08:26:38.031669,Gasspeicher,Stromerzeugungseinheit,Geothermie,Arnimer Damm 163 39576 Stendal,77,,InBetrieb,ABR987861726921,EEG947225530090,,,,,,,OK,False,,1.0,2019-05-28 08:26:38.031669,SEL934939222182,Abgelehnt,,ABR987861726921,Deutschland,SachsenAnhalt,Stendal,Stendal,15090535,39576,,,Arnimer Damm,False,163,False,,Stendal,9.926401,51.55998,32.0,564218.956050243,5712506.43722599,5714353.11511832,3564317.71533738,2019-03-20,,1994-05-01,,,,Aktiv,InBetrieb,,,,,,A,Gasspeicher,,,,Klaerschlamm,77,77,,,,,False,,,Teileinspeisung,,,Verbrennungsmotor,EEG947225530090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE904989130164,2020-10-28 08:09:38.716994,BHKW  G924 TI,Stromerzeugungseinheit,Geothermie,Alte Landstraße 17 77723 Gengenbach,85,,InBetrieb,ABR998863841109,,,,,,,,OK,False,,1.0,2020-10-28 08:09:38.716994,SEL997441930532,Ungeprueft,,ABR998863841109,Deutschland,BadenWuerttemberg,Ortenaukreis,Gengenbach,08317034,77723,,,Alte Landstraße,False,17,False,,Gengenbach,7.993038,48.415817,32.0,425491.217141861,5363007.99314532,5364713.28668685,3425537.28610253,2020-10-28,,1983-01-01,,,,Aktiv,InBetrieb,,,,,,A,BHKW  G924 TI,,,,Klaerschlamm,85,80,,,,,False,,,Teileinspeisung,,,Verbrennungsmotor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE905057802341,2019-06-06 11:51:12.025979,BHKW 3,Stromerzeugungseinheit,Geothermie,Austraße 201 74076 Heilbronn,770,,InBetrieb,ABR946246055391,,KWK937764511261,,SGE960952854895,,,,OK,False,,1.0,2019-06-06 11:51:12.025979,SEL912310675437,Ungeprueft,,ABR946246055391,Deutschland,BadenWuerttemberg,Heilbronn,Heilbronn,08121000,74076,,,Austraße,False,201,False,,Heilbronn,9.216972,49.181631,32.0,515812.088211329,5447669.8144427,5449409.84606842,3515893.72704379,2019-06-06,,1999-01-01,,,,Aktiv,InBetrieb,,,,,,A,BHKW 3,,,,Klaerschlamm,770,622,False,,,,False,False,False,Teileinspeisung,,SGE960952854895,Verbrennungsmotor,,KWK937764511261,,,,,,,,,,,,,,,,,,,,,,,,,,OK,False,,1.0,SGE960952854895,2019-06-06 11:51:11.839966,NachBImSchG4BBImSchV,2007-11-07,Regierungspräsidium Stuttgart,54.3-8823.81,,,,2019-06-06
SEE905305705974,2019-05-28 08:26:38.031669,MAN 135kW,Stromerzeugungseinheit,Geothermie,88499 Altheim,135,,InBetrieb,ABR930533943133,EEG981548996270,KWK941565944470,,SGE906993632979,,,,OK,False,,1.0,2019-05-28 08:26:38.031669,SEL904567524699,Ungeprueft,,ABR930533943133,Deutschland,BadenWuerttemberg,Biberach,Altheim,08426008,88499,Riedlingen,"3192, 3193, 3194",,False,,False,,Altheim,9.458612,48.140662,32.0,534117.253374526,5332036.10948425,5333729.84846071,3534207.20926732,2019-03-04,,2014-07-26,,,,Aktiv,InBetrieb,,,,,,A,MAN 135kW,,,,Grubengas,135,135,False,,,,True,True,False,Volleinspeisung,,SGE906993632979,Verbrennungsmotor,EEG981548996270,KWK941565944470,OK,False,,1.0,2019-03-04,2019-03-04 14:35:52.629042,2014-07-26,EEG981548996270,,,1004,InBetrieb,OK,False,,1.0,KWK941565944470,,,2019-03-04 14:35:52.629042,2011-12-29,2019-03-04,1137,1004,InBetrieb,OK,False,,1.0,SGE906993632979,2019-03-04 13:56:25.677289,NachBImSchG4BBImSchV,2014-07-23,Biberach,33-106.111-SM/Bea ÄB IV,,,,2019-03-04
SEE905474068191,2020-03-03 12:45:50.335259,BHKW Blumenthal 7,Stromerzeugungseinheit,Geothermie,Dorstener Straße 45657 Recklinghausen,1358,,InBetrieb,ABR909184158296,EEG908762465979,,,SGE969909512796,,,,OK,False,,1.0,2020-03-03 12:45:50.335259,SEL917263763132,Geprueft,2020-07-16,ABR909184158296,Deutschland,NordrheinWestfalen,Recklinghausen,Recklinghausen,05562032,45657,,,Dorstener Straße,False,,False,,Recklinghausen,7.168821,51.625148,32.0,373246.204784439,5720935.63065092,5721844.81297187,2580981.19814692,2019-03-28,,2002-07-01,,,,Aktiv,InBetrieb,,,,,,A,BHKW Blumenthal 7,,,,Grubengas,1358,1358,False,,,,True,True,False,Volleinspeisung,,SGE969909512796,Verbrennungsmotor,EEG908762465979,,OK,False,,1.0,2019-03-28,2020-03-03 14:09:25.132227,2002-07-01,EEG908762465979,E3054401V000000000000001579645172,,2716,InBetrieb,,,,,,,,,,,,,,OK,False,,1.0,SGE969909512796,2019-03-28 07:37:19.688028,NachBImSchG4BBImSchV,2006-09-11,Bezirksregierung Münster,G 62.0520/06/0104BAA2,,,,2019-03-28
SEE905508173563,2020-09-23 18:46:49.261031,BHKW Lerche,Stromerzeugungseinheit,Geothermie,59077 Hamm,1358,,InBetrieb,ABR970977607369,EEG947683977482,,,SGE905163520832,,,,OK,False,,1.0,2020-09-23 18:46:49.261031,SEL976410904378,Geprueft,2020-09-23,ABR970977607369,Deutschland,NordrheinWestfalen,Hamm,Hamm,05915000,59077,Lerche,"Flur 2, Flurstück 162, 163, 201, 208",,False,,False,,Hamm,7.69939,51.64173,32.0,410003.162077692,5721992.65874832,5723841.80049575,3410040.06788289,2019-03-13,,2004-10-15,,,,Aktiv,InBetrieb,,,,,,A,BHKW Lerche,,,,Grubengas,1358,1358,True,,,,True,True,False,Volleinspeisung,,SGE905163520832,Verbrennungsmotor,EEG947683977482,,OK,False,,1.0,2019-03-13,2020-03-31 13:11:46.390859,2004-10-15,EEG947683977482,E30544010000000000000015738969855,,2716,InBetrieb,,,,,,,,,,,,,,OK,False,,1.0,SGE905163520832,2019-03-13 12:31:34.995284,NachBImSchG4BBImSchV,2012-07-25,Bezirksregierung Arnsberg,64 o7-4.1-2012-3-,,,,2019-03-13
SEE905902493472,2019-05-28 08:26:38.031669,Klärschlammverwertungsanlage,Stromerzeugungseinheit,Geothermie,Teteler Landweg 1 18528 Bergen,330,,InBetrieb,ABR961423018839,EEG989314281834,KWK977472416861,,SGE963487854477,,,,OK,False,,1.0,2019-05-28 08:26:38.031669,SEL922250887128,Ungeprueft,,ABR961423018839,Deutschland,MecklenburgVorpommern,Vorpommern-Rügen,Bergen auf Rügen,13073010,18528,,,Teteler Landweg,False,1,False,,Bergen,13.454187,54.416038,33.0,399689.611469335,6030912.45046661,6032758.24247117,4594504.4155523,2019-03-26,,2017-05-04,,,,Aktiv,InBetrieb,,,,,,A,Klärschlammverwertungsanlage,,,,Klaerschlamm,330,330,False,,,,True,False,False,Volleinspeisung,,SGE963487854477,Sonstige,EEG989314281834,KWK977472416861,OK,False,,1.0,2019-03-26,2019-03-26 10:37:30.241049,2017-05-04,EEG989314281834,,A9839820169878,330,InBetrieb,OK,False,,1.0,KWK977472416861,,,2019-03-26 10:37:30.241049,2017-05-04,2019-03-26,360,330,InBetrieb,OK,False,,1.0,SGE963487854477,2019-03-26 10:37:30.241049,NachBImSchGandere,2015-10-07,"Staatliches Amt für Landwirtschaft und Umwelt Vorpommern, Stralsund",8.1.1.4-60.0070/14-53a,2016-03-31,,,2019-03-26
SEE905976838551,2020-10-14 08:08:25.938679,BHKW Weiher 1,Stromerzeugungseinheit,Geothermie,66287 Quierschied,3000,,InBetrieb,ABR978096504668,EEG902849696140,KWK953892370679,,SGE910167880097,,,,OK,False,,1.0,2020-10-14 08:08:25.938679,SEL905004311544,Geprueft,2019-08-05,ABR978096504668,Deutschland,Saarland,Regionalverband Saarbrücken,Heusweiler,10041513,66287,Quierschied,Flur: 15 Flurstück: 1/292,,False,,False,,Quierschied,7.032149,49.335696,32.0,357040.412427368,5466637.16585378,5467035.08813393,2575058.39124978,2019-05-27,,2003-07-01,,,,Aktiv,InBetrieb,,,,,,A,BHKW Weiher 1,,,,Grubengas,3000,2955,False,,,,True,True,False,Volleinspeisung,,SGE910167880097,Verbrennungsmotor,EEG902849696140,KWK953892370679,OK,False,,1.0,2019-05-27,2020-01-15 09:58:39.760637,2003-07-01,EEG902849696140,E33018010000GGASVIRTEEGXWEIH00006,,3000,InBetrieb,OK,False,,1.0,KWK953892370679,True,KWK19-2-7,2020-10-14 08:08:25.938679,2003-07-01,2019-05-27,3000,3000,InBetrieb,OK,False,,1.0,SGE910167880097,2020-10-14 08:08:25.938679,NachBImSchG4BBImSchV,2002-10-18,Oberbergamt Saarland,II KWWE/1/02-5,,,,2019-05-27
SEE906665505938,2020-02-04 04:26:46.949300,BHKW Ibbenbüren M2,Stromerzeugungseinheit,Geothermie,49477 Ibbenbüren,1000,,InBetrieb,ABR970977607369,EEG948281327181,,,SGE938343131788,,,,OK,False,,1.0,2020-02-04 04:26:46.949300,SEL958790353366,Geprueft,2020-02-04,ABR970977607369,Deutschland,NordrheinWestfalen,Steinfurt,Ibbenbüren,05566028,49477,Mettingen,"Fl 45, FlSt 55
",,False,,False,,Ibbenbüren,7.772722,52.299208,32.0,416311.181483105,5795027.04822153,5796905.480989,3416349.99616018,2019-09-03,,2003-01-01,,,,Aktiv,InBetrieb,,,,,,A,BHKW Ibbenbüren M2,,,,Grubengas,1000,1000,False,,,,True,True,False,Volleinspeisung,,SGE938343131788,Verbrennungsmotor,EEG948281327181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE906954035498,2019-12-23 11:44:14.084031,BHKW-Gasmotor,Stromerzeugungseinheit,Geothermie,Im Brenntenwäldle 1 78609 Tuningen,90,,InBetrieb,ABR928853217485,EEG982969961427,,,SGE932145486718,,,,OK,False,,1.0,2019-12-23 11:44:14.084031,SEL916068864976,Ungeprueft,,ABR928853217485,Deutschland,BadenWuerttemberg,Schwarzwald-Baar-Kreis,Tuningen,08326061,78609,,,Im Brenntenwäldle,False,1,False,,Tuningen,8.611622,48.020779,32.0,471040.406383051,5318682.69290127,5320370.54939074,3471105.12897751,2019-12-23,,2019-09-27,,,,Aktiv,InBetrieb,,,,,,B,BHKW-Gasmotor,,,,Grubengas,90,86,,,,,False,,,Teileinspeisung,,SGE932145486718,Verbrennungsmotor,EEG982969961427,,OK,False,,1.0,2019-12-23,2019-12-23 11:44:14.015025,2019-09-27,EEG982969961427,,,90,InBetrieb,,,,,,,,,,,,,,OK,False,,1.0,SGE932145486718,2019-12-23 11:44:14.015025,NachBImSchG4BBImSchV,2019-05-17,Regierungspräsidium Freiburg,54.2-8983.1/SBK-032,,,,2019-12-23
SEE907108747915,2020-01-30 15:10:25.433789,BHKW KA BB - Modul 2,Stromerzeugungseinheit,Geothermie,Auf der Wörsch 65510 Hünstetten,72,,DauerhaftStillgelegt,ABR956663295621,,KWK902777434531,,,,,,OK,False,,1.0,2020-01-30 15:10:25.433789,SEL980974384071,Ungeprueft,,ABR956663295621,Deutschland,Hessen,Rheingau-Taunus-Kreis,Hünstetten,06439007,65510,,,Auf der Wörsch,False,,False,,Hünstetten,8.228288,50.280484,32.0,445016.393562093,5570101.77808064,5571890.34317975,3445068.60123475,2020-01-30,,2006-07-01,2019-10-30,,,Aktiv,DauerhaftStillgelegt,,,,,,A,BHKW KA BB - Modul 2,,,,Klaerschlamm,72,50,,,,,False,,,Teileinspeisung,,,Verbrennungsmotor,,KWK902777434531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE907291219985,2020-11-01 15:33:15.970937,ABR902511314143,Stromerzeugungseinheit,Geothermie,87739 Breitenbrunn,8,,InBetrieb,ABR902511314143,,,,SGE996454018978,,,,OK,False,,1.0,2020-11-01 15:33:15.970937,SEL969260654876,Ungeprueft,,ABR902511314143,Deutschland,Bayern,Unterallgäu,Breitenbrunn,09778121,87739,,,,False,,False,,Breitenbrunn,,,,,,,,2020-11-01,,2014-01-14,,,,Aktiv,InBetrieb,,,,,,A,ABR902511314143,,,,Solarthermie,8,7.6,,,,,False,,,Teileinspeisung,,SGE996454018978,Sonstige,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,False,,1.0,SGE996454018978,2020-11-01 15:33:15.901939,Sonstige,2014-01-24,Bundesnetzagentur Dortmund,ASO-020447-14,,,,2020-11-01
