scn_name,Project,Project_id,Startpoint,bus_id_1,Point_1,Endpoint,bus_id_2,Point_2,Distance (km),Voltage,s_nom,cables,NOVA-Type,Distance
AMP-001,EnLAG,2,Punkt Lemförde,31026.0,"8.052813201940419, 53.33191378148668", St. Hülfe,30941.0,"7.123239074232188, 51.52561159658865",,380.0,2629.6MVA,,Errichtung einer Lei- tung: Ersatzneubau,210.7029892559678
AMP-009,EnLAG,5,Niederrhein,31097.0,"6.6807962637334715, 51.646328801088394",Wettringen,30893.0,"6.934911668116749, 51.03353192133852",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,70.4385513670703
AMP-009,EnLAG,5,Niederrhein,31097.0,"6.6807962637334715, 51.646328801088394",Wettringen (Kabel),31110.0,"6.65673525925894, 51.379523660262194",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,29.731185040427544
AMP-009,EnLAG,5,Wettringen,30893.0,"6.934911668116749, 51.03353192133852",Meppen,31104.0,"6.683107022192082, 51.57564552523084",,380.0,,3.0,Errichtung einer Leitung: Neubau in neuer Trasse,62.816600966788926
AMP-010,EnLAG,"16,18",Gaste,31337.0,"8.629069864345727, 51.993609389178275",Lüstringen,30893.0,"6.934911668116749, 51.03353192133852",,380.0,,3.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,158.86776387703793
AMP-010,EnLAG,"16,18",Lüstringen,30893.0,"6.934911668116749, 51.03353192133852",Wehrendorf,34098.0,"7.195979372179286, 51.411575331958",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,45.842518835945874
AMP-010,EnLAG,"16,18",Lüstringen,30893.0,"6.934911668116749, 51.03353192133852",Hesseln,31033.0,"9.917180765726243, 52.27818419770801",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,248.50626365783347
AMP-010,EnLAG,"16,18",Hesseln,31033.0,"9.917180765726243, 52.27818419770801",Gütersloh,31085.0,"9.390175306207366, 52.02668689009703",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,45.65287905803668
AMP-014,EnLAG,"14,15",Punkt Fellerhöfe,,,Punkt St. Tönis,,,,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,
AMP-014,EnLAG,"14,15",Punkt St. Tönis,,,Punkt Hüls-West,,,,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,
AMP-014,EnLAG,"14,15",Utfort ,30981.0,"6.617199413011056, 51.47583728028681",Punkt Hüls-West,,,,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,
AMP-014,EnLAG,"14,15",Osterath,30878.0,"11.37040879051204, 48.29148987363752",Gohrpunkt,31085.0,"9.390175306207366, 52.02668689009703",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,438.8658212685182
AMP-014,EnLAG,"14,15",Gohrpunkt,31085.0,"9.390175306207366, 52.02668689009703",Rommerskirchen,31156.0,"10.843117833298242, 49.37869267500462",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,311.9236018644961
AMP-014,EnLAG,"14,15",Utfort ,30981.0,"6.617199413011056, 51.47583728028681",Osterath,30878.0,"11.37040879051204, 48.29148987363752",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,491.87949475380515
AMP-014,EnLAG,"14,15",Punkt Birkenhof,31830.0,"8.641627910762603, 48.89007089696151",Gellep,31104.0,"6.683107022192082, 51.57564552523084",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,329.7631289525044
AMP-018,15,15,Rommerskirchen,31156.0,"10.843117833298242, 49.37869267500462",Sechtem,30904.0,"6.972459875900362, 50.79563726078529",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,318.6464904396506
AMP-022,EnLAG,19,Kruckel,30928.0,"7.417051340500602, 51.457221874784416",Ochsenkopf,31205.0,"6.926758989258765, 51.49920569585058",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,34.38109572409712
AMP-022,EnLAG,19,Ochsenkopf ,,,Dauersberg,31040.0,"8.809948917696808, 50.203566664751136",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,170.52218431885265
AMP-028,,,Wanne,30865.0,"8.735135796743075, 50.159191553758134",Günnigfeld,31142.0,"7.505971563875505, 51.40160535798426",,380.0,,3.0,Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung,163.14374168071646
AMP-028,,,Emscherbruch,31274.0,"11.004916950000002, 50.50741499934261",Emscherbruch,31274.0,"11.004916950000002, 50.50741499934261",,380.0,,3.0,für Dritte,0.0
AMP-032,EnLAG,14,Niederrhein,31097.0,"6.6807962637334715, 51.646328801088394",Utfort,30981.0,"6.617199413011056, 51.47583728028681",,380.0,,3.0,Errichtung einer Lei- tung: Ersatzneubau,19.474670061001092
AMP-P21,BBPIG,6,Regelzonengrenze TTG/AMP,,,Merzen,31104.0,"6.683107022192082, 51.57564552523084",,380.0,,,Errichtung einer Leitung: Neubau in neuer Trasse,7.865846624479677
AMP-P41,BBPIG,15,Metternich,31156.0,"10.843117833298242, 49.37869267500462",Niederstedem,31097.0,"6.6807962637334715, 51.646328801088394",,380.0,,,Errichtung einer Lei- tung: Ersatzneubau,388.2134166877518
AMP-P47,BBPIG,19,Urberach ,30878.0,"11.37040879051204, 48.29148987363752","Pfungstadt
",31186.0,"11.507780016006695, 48.76113865788101",,380.0,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",53.20172907438745
AMP-P47,BBPIG,19,"Pfungstadt
",31186.0,"11.507780016006695, 48.76113865788101",Weinheim,30904.0,"6.972459875900362, 50.79563726078529",,380.0,,,"Errichtung einer Leitung: Neubau in neuer Trasse, Errichtung einer
Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",397.2638787064417
AMP-P47a,BBPIG,76,Punkt Kriftel,31658.0,"9.201683603864101, 53.89581463892435",Punkt Marxheim,31772.0,"8.248729079824315, 48.84631655943378",,380.0,,,"Errichtung einer Leitung: Ersatzneu- bau, Änderung oder Erweiterung einer Leitung: Zu- oder Umbeseilung",565.6743679308872
