Application;Plant;Landkreis Number;Annual Tonnes;Capacity or Production;Latitude;Longitude
Recycled Paper;Hans Kolb Papierfabrik GmbH & Co. KG;9762;64800.00;Production;47.994111;10.141653
Recycled Paper;Heinzel Paper Raubling Papier GmbH;9187;184000.00;Production;47.796101;12.118142
Recycled Paper;Julius Schulte Soehne GmbH & Co. KG;5111;105090.00;Production;51.204729;6.782039
Recycled Paper;Julius Schulte Trebsen GmbH & Co. KG;14729;252216.00;Production;51.27919;12.76748
Recycled Paper;Karl Kurz GmbH & Co. KG Tullau Pappen;8127;12192.30;Production;49.089756;9.736293
Recycled Paper;Kartonfabrik Buchmann GmbH;7337;233750.00;Production;49.2029289;7.936293
Recycled Paper;Kimberly-Clark GmbH Werk Koblenz;7111;59428395.00;Production;50.391848;7.585209
Recycled Paper;Klingele Papierwerke GmbH & Co. KG Papierfabrik Weener;3457;305100.00;Production;53.16949;7.36508
Recycled Paper;Kuebler & Niethammer Papierfabrik Kriebstein AG;14522;94581.00;Production;51.051245;13.016569
Recycled Paper;LEIPA Georg Leinfelder GmbH;9185;153431.40;Production;53.08758;14.31137
Recycled Paper;LEIPA Georg Leinfelder GmbH;9185;472905.00;Production;53.07818;14.31336
Recycled Paper;LEIPA Georg Leinfelder GmbH;12073;819702.00;Production;48.55691;11.26348
Recycled Paper;Mayr-Melnhof Gernsbach GmbH;8216;245647875.00;Production;48.743977;8.346557
Recycled Paper;Metsae Tissue GmbH Werk Kreuzau;5358;71145.00;Production;50.726397;6.470003
Recycled Paper;Metsae Tissue GmbH Werk Raubach;7138;51224.40;Production;50.584734;7.624486
Recycled Paper;Moritz J. Weig GmbH & Co. KG ;7137;595860.30;Production;51.489164;10.782681
Recycled Paper;PAKA Glashuetter Pappen- und Kartonagenfabrik GmbH;14628;25500.00;Production;50.846759;13.773626
Recycled Paper;Papier- und Kartonfabrik Varel GmbH & Co. KG;3455;875000.00;Production;53.403061;8.130667
Recycled Paper;Papierfabrik Adolf Jass GmbH & Co. KG;6631;546468.00;Production;50.568171;9.681778
Recycled Paper;Papierfabrik Adolf Jass Schwarza GmbH;16073;504432.00;Production;50.681683;11.332329
Recycled Paper;Papierfabrik August Koehler SE;8317;151875.00;Production;48.52726;8.087277
Recycled Paper;Papierfabrik Hainsberg GmbH ;14628;45200.00;Production;50.987243;13.638896
Recycled Paper;Papierfabrik Meldorf GmbH & Co. KG;1056;94581.00;Production;53.694458;9.715562
Recycled Paper;Papierfabrik Palm GmbH & Co. KG ;8136;395500.00;Production;48.824195;10.117974
Recycled Paper;Papierfabrik Palm GmbH & Co. KG Werk Eltmann ;9674;610200.00;Production;49.984528;10.652055
Recycled Paper;Papierfabrik Palm GmbH & Co. KG Werk Woerth;7334;734500.00;Production;49.067762;8.302033
Recycled Paper;Papierfabrik Vreden GmbH;5554;87600.00;Production;52.031607;6.827414
Recycled Paper;Papierwerke Lenk AG;8317;15066.00;Production;48.596374;8.115822
Recycled Paper;Pappenfabrik Nierfeld Joseph Piront GmbH & Co.KG;5366;9605.00;Production;50.558788;6.495455
Recycled Paper;Pfleiderer Teisnach GmbH & Co. KG;9276;18000.00;Production;49.042518;12.999989
Recycled Paper;Progroup Paper PM1 GmbH;15086;361600.00;Production;52.253299;11.881811
Recycled Paper;Progroup Paper PM2 GmbH;12067;734500.00;Production;52.171644;14.64056
Recycled Paper;R.D.M. Arnsberg GmbH;5958;231198.00;Production;51.392388;8.072591
Recycled Paper;Schoellershammer GmbH & Co. KG;5358;525450.00;Production;50.777112;6.486039
Recycled Paper;Schoenfelder Papierfabrik GmbH ;14521;75000.00;Capacity;50.714495;12.75808
Recycled Paper;Schumacher Packaging GmbH Werk Schwarzenberg;14521;51980.00;Production;50.534729;12.808939
Recycled Paper;Schwarzwald Papierwerke AG;8315;11250.00;Production;47.905805;8.226006
Recycled Paper;Smurfit Kappa Herzberg Solid Board GmbH;3159;220350.00;Production;51.66156;10.352631
Recycled Paper;Smurfit Kappa Hoya Papier und Karton GmbH;3256;360187.50;Production;52.809563;9.155994
Recycled Paper;Smurfit Kappa Wrexen Paper & Board GmbH;6635;271200.00;Production;51.50647;8.9794
Recycled Paper;Smurfit Kappa Zuelpich Papier GmbH;5366;339000.00;Production;50.705862;6.652424
Recycled Paper;Sprick GmbH Bielefelder Papier- und Wellpappenwerke & Co. Werk Mitte;6635;73563.00;Production;52.039983;8.607516
Recycled Paper;Steinbeis Papier GmbH;1061;315270.00;Production;53.781921;9.425706
Recycled Paper;Stora Enso Sachsen GmbH;14730;430000.00;Capacity;51.465591;12.591755
Recycled Paper;Stora Enso Maxau GmbH;8212;295000.00;Capacity;49.040594;8.311107
Recycled Paper;UPM Augsburg GmbH;9761;124846.92;Production;48.37893;10.899761
Recycled Paper;UPM GmbH Werk Schongau;9190;730000.00;Production;47.808284;10.902286
Recycled Paper;UPM Huerth Rhein Papier GmbH;5362;400000.00;Capacity;50.858932;6.836825
Recycled Paper;UPM Plattling Rhein Papier GmbH;9271;272235645.00;Production;48.796223;12.861907
Recycled Paper;W & M Pappen GmbH & Co. KG;5766;11136.15;Production;51.912602;9.252666
Recycled Paper;WEPA Hygieneprodukte GmbH Standort Mainz;7315;21969.27;Production;50.028956;8.23207
Recycled Paper;WEPA Hygieneprodukte GmbH Standort Giershagen;5958;51784.89;Production;51.419486;8.810109
Recycled Paper;WEPA Hygieneprodukte GmbH Werk Arnsberg;5958;58585.23;Production;51.409108;7.99213
